Job Title,Job Description,Skills,Certifications
Production Support Engineer,"Provides support for production systems to ensure uptime. Responsibilities include monitoring applications, troubleshooting issues, and performing root cause analysis.","Troubleshooting, Linux, Windows Server, Scripting, Networking, Databases, Monitoring, Automation, ITIL","ITIL Foundation Certification, CompTIA A+"
Puppet Operations Engineer,Utilizes Puppet for configuration management tasks. Responsible for writing manifests/scripts to automate system configurations across environments.,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code","Puppet Certification, AWS Certified DevOps Engineer – Professional"
Senior Build and Release Engineer,Leads build/release engineering efforts within an organization. Manages complex build environments while ensuring timely delivery of software releases.,"CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools, Leadership, Mentoring","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Senior Build Engineer,Oversees build processes for software projects at a senior level. Responsible for optimizing build times and maintaining build infrastructure.,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control, Leadership, Mentoring","Jenkins Certification, AWS Certified Developer – Associate"
Senior DevOps Engineer,Drives DevOps initiatives at a senior level. Responsibilities include mentoring team members and implementing automation strategies.,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Cloud Computing, Leadership","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
Senior Site reliability Engineer,No description available,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership",
Site Reliability Engineer (Kubernetes – Docker),Focuses on maintaining high availability of containerized applications using Kubernetes/Docker while implementing SRE best practices.,"SRE, Kubernetes, Docker, Linux, Cloud Computing, Monitoring, Automation, CI/CD, Networking, Troubleshooting","Certified Kubernetes Administrator (CKA), Docker Certified Associate"
Splunk Engineer,"Implements Splunk solutions for log analysis, security monitoring, and operational intelligence. Responsible for creating dashboards/alerts and managing data ingestion.","Splunk, Data Analysis, Log Management, Security, Dashboards, Alerting, Scripting, Linux, AWS, Azure","Splunk Core Certified Power User, Splunk Enterprise Security Admin"
.NET Developer,Develops applications using .NET framework technologies including C#. Responsibilities include application design/development/testing.,".NET, C#, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing","Microsoft Certified: .NET Developer, MCP: Programming in C#"
TeamCity Engineer,Manages TeamCity CI/CD server by configuring build configurations/pipelines and integrating with source control systems.,"TeamCity, CI/CD, Build Automation, Version Control, Git",
Tech Sales Engineer,Supports sales efforts by providing technical expertise during presentations/demonstrations while answering questions about technical aspects.,"Technical Sales, Product Knowledge, Customer Engagement, Networking Technologies",
TECHNICAL ACCOUNT MANAGER,Manages relationships with technical customers while providing support/guidance on their technology needs. Acts as a liaison between customer/engineering teams.,"Account Management, Technical Support, Customer Relationship Management (CRM), Project Management",
TECHNICAL LEAD,Leads technical teams on projects by providing guidance/mentorship while driving technical direction/decisions within projects.,"Team Leadership, Project Management, Software Development Lifecycle (SDLC), Agile Methodologies",
Terraform Engineer,Writes Terraform scripts to automate infrastructure provisioning across cloud platforms. Requires expertise in Infrastructure as Code (IaC) practices.,"Terraform, Infrastructure as Code (IaC), AWS, Azure, Google Cloud",
TFS Engineer,Manages Team Foundation Server (TFS) to support software development processes. Responsibilities include configuring build pipelines and managing version control.,"TFS (Team Foundation Server), .NET Development Tools, .NET Framework",
Twistkock Engineer,No description available,,
UDeploy Engineer,Manages deployment processes using UrbanCode Deploy. Responsibilities include configuring deployment projects and automating release workflows.,"UDeploy (UrbanCode Deploy), CI/CD, Automation, Deployment Strategies, Version Control",
UI DESIGNER,Designs user interfaces that are visually appealing while intuitive to use. Responsibilities include creating mockups/prototypes and conducting user research.,"UI Design Principles, Wireframing, Prototyping, Adobe Creative Suite, Figma, User Testing",
UI Developer,"Develops user interfaces using HTML5, CSS3, JavaScript while focusing on responsive design principles. Collaborates with UI designers to implement designs.","HTML5, CSS3, JavaScript, jQuery, Responsive Design, AngularJS, ReactJS",
Unity Developer,Develops interactive content with Unity engine including 3D simulations while working with assets created by graphic designers,"Unity3D Engine, C#, Game Development Principles, 3D Modeling, Animation",
UX DESIGNER,Conducts user research studies to gather insights on user behavior. Create wireframes/mockups based on data collected from research initiatives,"User Experience Design Principles, User Research, Wireframing, Prototyping, Usability Testing, Interaction Design",
Vault Engineer,Implement secret management to the cloud application.,"HashiCorp Vault, Secrets Management, Encryption, Access Control, Cloud Security",
Web Designer (UI/UX Designer),"Create front end web application using HTML, Css, JS.","UI/UX Design, Wireframing, Prototyping, Adobe Creative Suite, Figma",
Web Developer,"Develops and maintains websites and web applications. Responsibilities include writing code, debugging, and ensuring optimal performance across different browsers and devices.","HTML5, CSS3, JavaScript, React, Node.js, AngularJS, PHP",
WordPress Developer,"Creates and customizes WordPress websites. Responsibilities include developing themes/plugins, managing content, and ensuring website functionality.","WordPress, PHP, MySQL, HTML5, CSS3, JavaScript",
XL Deploy Engineer,"Manages deployment processes using XL Deploy. Responsibilities include configuring deployment pipelines, automating releases, and ensuring application availability.","XL Deploy, Deployment Automation, CI/CD, Version Control","XL Deploy Certification, DevOps Institute Certifications"
Zabbix Engineer,"Implements Zabbix monitoring solutions to track system performance and availability. Responsible for configuring alerts, dashboards, and monitoring metrics.","Zabbix, Monitoring Tools, Alerting Systems, Network Monitoring","Zabbix Certified Specialist, Zabbix Certified Professional"
